rank	vertex_index	anomaly_score	coreness	degree
72.0	1817	1.571697584451253	38	278
73.0	13637	1.5706082925896103	4	28
74.0	5027	1.5638918378377529	5	35
75.0	11812	1.554931275579472	15	92
76.0	1725	1.5545027804373808	34	218
77.0	24811	1.554347946116141	7	53
78.0	13396	1.5542940164462653	3	20
79.0	4880	1.5459035697842678	23	125
80.0	90	1.544010107111645	42	366
81.0	1	1.5427895183539464	10	70
82.0	2253	1.5408676059228004	34	217
83.0	887	1.5395517849699347	40	310
84.0	19815	1.5360225905534097	4	27
85.0	128	1.5108179133901167	38	264
86.0	13635	1.5025988197977016	4	26
87.0	2215	1.4994091655577222	40	308
88.0	20157	1.4764312458540836	5	32
89.0	5023	1.4704482039983855	4	25
90.0	9135	1.4676056215450464	7	49
91.0	4153	1.4634945427180162	30	160
92.0	4747	1.4611572010965848	24	123
93.5	28825	1.4576149706654196	3	18
93.5	26990	1.4576149706654196	3	18
95.0	1334	1.4552872326068416	41	314
96.0	696	1.4511995375793818	8	55
97.0	4618	1.4462862717478657	34	206
98.0	4093	1.4404049353045725	17	92
99.0	13419	1.4328143767547834	4	24
100.0	14862	1.4281968527739002	8	54
101.0	4904	1.412015046648654	5	30
102.0	3844	1.4114622328268176	28	139
103.0	6893	1.3948633938449913	30	150
104.0	109	1.3934118288887545	42	339
105.0	19823	1.3924016443064264	4	23
106.0	82	1.391928178838147	35	212
107.0	5051	1.385509431723233	8	52
108.0	5050	1.383425402945817	7	45
109.0	5029	1.3791120394154195	5	29
110.0	969	1.376050222121326	13	73
111.0	18778	1.372795843448995	6	38
112.0	2737	1.368313971910026	33	171
113.0	1304	1.364695249316429	39	263
114.0	4232	1.3638934244307235	20	99
115.0	929	1.3625778345025745	40	295
116.0	4876	1.3609343100265008	7	44
117.0	3174	1.3572667529196707	35	207
118.5	35279	1.3457229434203377	2	11
118.5	33315	1.3457229434203377	2	11
120.0	3295	1.3449856466860117	12	68
121.0	26897	1.3318804130801691	7	43
122.0	36163	1.3281127495883815	1	9
123.0	3486	1.324902102818383	14	74
124.0	14338	1.3194646920147637	4	21
125.0	3354	1.3190729692813212	34	181
126.0	6231	1.306271869965272	11	62
127.0	6008	1.2941962230120527	3	15
129.5	26811	1.2901033307556595	6	35
129.5	9500	1.2901033307556595	6	35
129.5	9044	1.2901033307556595	6	35
129.5	390	1.2901033307556595	6	35
132.0	6125	1.277669424717657	13	68
133.0	27888	1.2769975063043901	4	20
135.0	23960	1.2762979476480636	5	26
135.0	5070	1.2762979476480636	5	26
135.0	5057	1.2762979476480636	5	26
137.0	822	1.2750687260096658	35	190
138.0	284	1.2745330742529006	29	135
139.0	22587	1.2740878529540742	8	47
140.0	3251	1.2650727014533834	9	52
141.0	27475	1.2541998110702508	7	40
142.0	19467	1.2524196208525105	8	46
143.0	3966	1.2450440595628605	14	70
144.5	24812	1.2443304253202765	5	25
144.5	13744	1.2443304253202765	5	25
146.5	26699	1.2390857771264017	3	14
146.5	18722	1.2390857771264017	3	14
148.0	20654	1.2315559645551755	4	19
149.0	5410	1.2158273038604843	32	149
150.0	5434	1.203688673055379	30	136
151.5	26911	1.2029595733286396	6	32
151.5	5830	1.2029595733286396	6	32
153.0	1899	1.2014217825343314	38	225
154.0	4645	1.1962897336969744	7	38
155.0	1793	1.193266780354726	32	147
156.0	3766	1.1823650287294853	8	43
157.0	11494	1.1803924671505754	4	18
158.0	1927	1.179049395873479	36	197
159.0	27605	1.1749110394241455	3	13
160.5	29553	1.1571777386099384	2	9
160.5	20374	1.1571777386099384	2	9
163.0	8558	1.1538976043251976	9	47
163.0	8326	1.1538976043251976	9	47
163.0	3267	1.1538976043251976	9	47
165.0	1000	1.148258983939158	14	65
166.0	3352	1.1402472613196872	7	36
167.0	2254	1.1388909525583184	15	68
168.5	6831	1.132586309777933	9	46
168.5	1970	1.132586309777933	9	46
170.5	8032	1.1299909276266407	8	41
170.5	5042	1.1299909276266407	8	41
172.0	4735	1.1293839473348637	34	165
174.0	35734	1.1274372383630826	4	17
174.0	8565	1.1274372383630826	4	17
174.0	6829	1.1274372383630826	4	17
176.0	3361	1.113581100224419	7	35
177.0	2939	1.111770373245621	39	228
178.0	878	1.1074854613485963	42	297
180.5	25766	1.1011156630268228	3	12
180.5	24464	1.1011156630268228	3	12
180.5	19912	1.1011156630268228	3	12
180.5	16987	1.1011156630268228	3	12
183.0	26153	1.1007498028414204	1	7
184.0	200	1.0994000004063587	36	181
185.0	2015	1.0986122886681091	29	119
186.0	5225	1.091890129904261	9	44
187.0	26817	1.0851149969550615	7	34
188.0	80	1.0836195040819687	41	271
189.0	147	1.0834317314910944	38	212
190.5	10815	1.0786193867127691	8	39
190.5	8340	1.0786193867127691	8	39
194.0	28933	1.0728147739809994	4	16
194.0	17181	1.0728147739809994	4	16
194.0	14827	1.0728147739809994	4	16
194.0	9131	1.0728147739809994	4	16
194.0	7193	1.0728147739809994	4	16
197.0	1202	1.0697767390282227	40	246
198.0	1053	1.062994653055216	38	209
199.0	301	1.0608719606852626	40	244
200.0	25325	1.0552618477944966	7	33
201.0	515	1.0537897781089711	42	67
202.5	30513	1.051985665498096	2	8
202.5	25529	1.051985665498096	2	8
204.5	27149	1.0507517460713824	5	20
204.5	27148	1.0507517460713824	5	20
206.0	24743	1.0419989494866009	10	46
207.0	1330	1.0407927177792837	40	243
208.0	8668	1.0392868225832954	12	53
209.0	393	1.0392494966720962	34	157
210.0	7428	1.037226838599116	20	77
211.0	4737	1.036878404397389	36	175
212.5	10280	1.0361883540941328	6	27
212.5	8559	1.0361883540941328	6	27
214.0	16210	1.0265192664302543	7	32
220.0	27851	1.0211393125870085	3	11
220.0	23946	1.0211393125870085	3	11
220.0	23808	1.0211393125870085	3	11
220.0	18826	1.0211393125870085	3	11
220.0	18773	1.0211393125870085	3	11
220.0	13266	1.0211393125870085	3	11
220.0	13175	1.0211393125870085	3	11
220.0	11680	1.0211393125870085	3	11
220.0	9134	1.0211393125870085	3	11
220.0	7106	1.0211393125870085	3	11
220.0	2168	1.0211393125870085	3	11
226.0	23364	1.0198777625474005	27	102
227.0	26007	1.0179666810275583	8	37
229.0	35732	1.0177331659390774	4	15
229.0	19720	1.0177331659390774	4	15
229.0	4256	1.0177331659390774	4	15
231.0	7991	1.0075045439099455	29	111
232.0	10330	1.0053857180752939	5	19
233.0	20231	1.0028908982281957	6	26
234.0	1654	1.0022204429930444	41	63
235.0	3215	1.0011139241832314	41	258
236.0	967	0.9954636605301639	13	54
237.0	16207	0.9949319419289733	7	31
238.0	8566	0.9850388526700442	9	40
239.0	1121	0.9717034368040807	39	49
240.0	2296	0.9694537425479597	17	65
241.0	1052	0.9690734314520739	41	65
242.0	4398	0.9675840262617053	38	190
243.0	4152	0.9657679451946253	36	169
244.0	26021	0.9645666250114253	8	35
249.5	30779	0.963081868166535	4	14
249.5	27876	0.963081868166535	4	14
249.5	24810	0.963081868166535	4	14
249.5	20659	0.963081868166535	4	14
249.5	19876	0.963081868166535	4	14
249.5	17993	0.963081868166535	4	14
249.5	13987	0.963081868166535	4	14
249.5	13267	0.963081868166535	4	14
249.5	8878	0.963081868166535	4	14
249.5	5776	0.963081868166535	4	14
255.5	9358	0.9587878863813826	9	39
255.5	3309	0.9587878863813826	9	39
257.0	2111	0.9553431090283855	37	174
260.0	23873	0.9544589150996394	5	18
260.0	20634	0.9544589150996394	5	18
260.0	18617	0.9544589150996394	5	18
260.0	5028	0.9544589150996394	5	18
260.0	5024	0.9544589150996394	5	18
263.0	3027	0.9530067474124273	36	168
264.0	1016	0.9528825284696163	13	52
265.0	3742	0.9518657058708699	34	146
266.0	2510	0.9500717217316179	35	158
267.0	3679	0.9442287420163362	14	55
268.0	13414	0.9442195073991657	10	42
269.0	1396	0.9393360209920392	42	73
270.5	5041	0.9331469654863076	6	24
270.5	5021	0.9331469654863076	6	24
272.0	28097	0.9325243531089651	1	6
277.5	35345	0.9318326729093407	3	10
277.5	32745	0.9318326729093407	3	10
277.5	26090	0.9318326729093407	3	10
277.5	24059	0.9318326729093407	3	10
277.5	22738	0.9318326729093407	3	10
277.5	19962	0.9318326729093407	3	10
277.5	16017	0.9318326729093407	3	10
277.5	13303	0.9318326729093407	3	10
277.5	13174	0.9318326729093407	3	10
277.5	6671	0.9318326729093407	3	10
286.5	29562	0.9301035953706744	2	7
286.5	29101	0.9301035953706744	2	7
286.5	20966	0.9301035953706744	2	7
286.5	20963	0.9301035953706744	2	7
286.5	20919	0.9301035953706744	2	7
286.5	11818	0.9301035953706744	2	7
286.5	11522	0.9301035953706744	2	7
286.5	10124	0.9301035953706744	2	7
291.0	13427	0.9293223062357985	7	29
292.5	13640	0.9277333940806942	9	38
292.5	6084	0.9277333940806942	9	38
294.0	3604	0.925769475828699	34	144
295.0	17098	0.9195640572191239	10	41
296.0	960	0.9128419120267939	34	143
297.0	3296	0.9085414856279224	12	47
298.0	5384	0.9032023555675588	34	142
299.5	20669	0.901708278675331	5	17
299.5	8194	0.901708278675331	5	17
303.0	27871	0.8994515326282801	4	13
303.0	21801	0.8994515326282801	4	13
303.0	20220	0.8994515326282801	4	13
303.0	12354	0.8994515326282801	4	13
303.0	8857	0.8994515326282801	4	13
306.5	10893	0.8987248201408038	9	37
306.5	8560	0.8987248201408038	9	37
308.5	16204	0.8947271161194186	7	28
308.5	9132	0.8947271161194186	7	28
310.0	1395	0.8943118251553797	41	69
311.5	9752	0.8929311389599874	6	23
311.5	9130	0.8929311389599874	6	23
313.0	10281	0.8883919267360989	23	78
314.0	2773	0.8832298696132677	37	168
315.0	13424	0.8784719386709776	14	52
316.0	1209	0.8743491007894777	37	44
317.0	6828	0.8722949711352301	9	36
318.5	14840	0.8711358645117464	30	107
318.5	14835	0.8711358645117464	30	107
320.0	6289	0.8694264228979369	19	66
322.5	27809	0.8605614419434975	7	27
322.5	13421	0.8605614419434975	7	27
322.5	5587	0.8605614419434975	7	27
322.5	4651	0.8605614419434975	7	27
325.0	611	0.8586616190375187	42	77
326.0	5217	0.8575845050974795	34	138
327.5	5068	0.8572837455443363	6	22
327.5	3418	0.8572837455443363	6	22
329.0	3031	0.8557083388958002	38	48
330.0	1337	0.8532700455840185	37	45
331.0	1189	0.8478172060233895	43	88
334.0	26142	0.847118915090304	5	16
334.0	21241	0.847118915090304	5	16
334.0	19840	0.847118915090304	5	16
334.0	19826	0.847118915090304	5	16
334.0	13666	0.847118915090304	5	16
337.0	3465	0.8456806886145927	9	35
338.0	19018	0.8454383051657608	8	31
339.0	907	0.8439836941799248	41	72
340.0	1174	0.8400595214341795	39	55
341.0	839	0.8389208480491552	43	89
342.0	958	0.8386351099499887	23	75
343.0	1138	0.8376697772582276	40	219
344.0	1163	0.837380423729857	40	61
345.0	13633	0.8365459314047277	10	38
351.5	33954	0.833894862222051	3	9
351.5	28515	0.833894862222051	3	9
351.5	28509	0.833894862222051	3	9
351.5	27567	0.833894862222051	3	9
351.5	25928	0.833894862222051	3	9
351.5	25539	0.833894862222051	3	9
351.5	21350	0.833894862222051	3	9
351.5	16998	0.833894862222051	3	9
351.5	11773	0.833894862222051	3	9
351.5	8794	0.833894862222051	3	9
351.5	5787	0.833894862222051	3	9
351.5	4946	0.833894862222051	3	9
359.0	23043	0.8276416860394216	7	26
359.0	6735	0.8276416860394216	7	26
359.0	5557	0.8276416860394216	7	26
365.5	29625	0.8261352127002688	4	12
365.5	23722	0.8261352127002688	4	12
365.5	23648	0.8261352127002688	4	12
365.5	21620	0.8261352127002688	4	12
365.5	20051	0.8261352127002688	4	12
365.5	19548	0.8261352127002688	4	12
365.5	19525	0.8261352127002688	4	12
365.5	14974	0.8261352127002688	4	12
365.5	10897	0.8261352127002688	4	12
365.5	7102	0.8261352127002688	4	12
371.0	24944	0.8204029069204282	6	21
372.0	977	0.8197027019814804	13	46
373.0	1359	0.8179724988417414	17	58
374.0	22118	0.817266443715269	9	34
375.0	5194	0.8153296953758131	19	63
376.5	8322	0.8129644059993231	8	30
376.5	3290	0.8129644059993231	8	30
378.0	3323	0.8112968523340927	14	49
379.0	7028	0.8083824441375302	30	103
380.0	91	0.8057156985935512	38	172
381.0	687	0.7990569958745386	43	92
384.5	25158	0.7961630949634362	7	25
384.5	22024	0.7961630949634362	7	25
384.5	13432	0.7961630949634362	7	25
384.5	10278	0.7961630949634362	7	25
384.5	6899	0.7961630949634362	7	25
384.5	4272	0.7961630949634362	7	25
388.0	3310	0.7944829874333941	34	134
389.5	8350	0.7920703840694454	5	15
389.5	7107	0.7920703840694454	5	15
391.0	817	0.791909111238593	37	48
392.0	1813	0.7893106027368537	33	119
393.0	7082	0.7881798780519871	31	107
394.0	16978	0.7874651327320139	9	33
395.0	1154	0.7852771752419727	43	93
396.0	151	0.7844804589955467	38	170
397.5	5203	0.7839702532469355	34	133
397.5	3743	0.7839702532469355	34	133
399.0	27728	0.7802475659075192	8	29
401.0	23288	0.7781324222851893	6	20
401.0	21581	0.7781324222851893	6	20
401.0	14170	0.7781324222851893	6	20
403.0	1481	0.7760348403657131	42	82
404.0	469	0.7757087812529662	41	75
405.0	1401	0.7752331528363285	33	118
406.0	707	0.7736056022282449	34	132
407.0	561	0.7720903829000649	37	49
408.0	923	0.7720538472138294	43	94
409.0	22463	0.7714218254085132	26	81
410.0	2615	0.769786870851223	28	89
411.5	7607	0.769061837938616	39	59
411.5	1244	0.769061837938616	39	59
413.0	5536	0.7640373016049677	35	139
414.0	14841	0.7634996715629363	27	84
417.0	29564	0.7621434009470338	2	6
417.0	18861	0.7621434009470338	2	6
417.0	13630	0.7621434009470338	2	6
417.0	13577	0.7621434009470338	2	6
417.0	11692	0.7621434009470338	2	6
420.0	4183	0.7600962427425726	34	130
423.0	27978	0.7593689204083427	7	24
423.0	25326	0.7593689204083427	7	24
423.0	16692	0.7593689204083427	7	24
423.0	8072	0.7593689204083427	7	24
423.0	4477	0.7593689204083427	7	24
426.0	15247	0.7587743693642182	9	32
427.0	1042	0.7587553349153398	41	76
428.0	1168	0.7544567004022724	36	147
429.0	1110	0.75159077643002	43	96
430.0	982	0.7497543313712374	13	43
431.0	174	0.749082812890248	38	53
443.0	32840	0.7470816047439719	4	11
443.0	29818	0.7470816047439719	4	11
443.0	28642	0.7470816047439719	4	11
443.0	28619	0.7470816047439719	4	11
443.0	24890	0.7470816047439719	4	11
443.0	24780	0.7470816047439719	4	11
443.0	24426	0.7470816047439719	4	11
443.0	24025	0.7470816047439719	4	11
443.0	21092	0.7470816047439719	4	11
443.0	20661	0.7470816047439719	4	11
443.0	18600	0.7470816047439719	4	11
443.0	17925	0.7470816047439719	4	11
443.0	14686	0.7470816047439719	4	11
443.0	14115	0.7470816047439719	4	11
443.0	13486	0.7470816047439719	4	11
443.0	12403	0.7470816047439719	4	11
443.0	7995	0.7470816047439719	4	11
443.0	5997	0.7470816047439719	4	11
443.0	5190	0.7470816047439719	4	11
443.0	5071	0.7470816047439719	4	11
443.0	2386	0.7470816047439719	4	11
443.0	2290	0.7470816047439719	4	11
443.0	1818	0.7470816047439719	4	11
455.0	16151	0.7455951618669987	8	28
456.0	7986	0.7448247208696106	28	87
457.0	12800	0.7444084025922599	25	76
458.0	7401	0.7426780710648773	17	54
460.5	30545	0.7421053862063633	1	5
460.5	19464	0.7421053862063633	1	5
460.5	13361	0.7421053862063633	1	5
460.5	4802	0.7421053862063633	1	5
463.0	3680	0.7415642799983209	34	127
464.0	971	0.7388595069497352	12	40
465.0	4227	0.7382780603045882	27	82
469.5	35263	0.737399034308039	5	14
469.5	23317	0.737399034308039	5	14
469.5	20633	0.737399034308039	5	14
469.5	20183	0.737399034308039	5	14
469.5	19125	0.737399034308039	5	14
469.5	17100	0.737399034308039	5	14
469.5	6944	0.737399034308039	5	14
469.5	4087	0.737399034308039	5	14
474.0	177	0.7340930064220714	42	85
476.5	21255	0.7330992315716607	6	19
476.5	16203	0.7330992315716607	6	19
476.5	15331	0.7330992315716607	6	19
476.5	15234	0.7330992315716607	6	19
479.0	4124	0.7312470267922153	30	97
480.0	1112	0.7308126834464197	21	64
494.5	35390	0.7299045118170255	3	8
494.5	33372	0.7299045118170255	3	8
494.5	29012	0.7299045118170255	3	8
494.5	26711	0.7299045118170255	3	8
494.5	26378	0.7299045118170255	3	8
494.5	24911	0.7299045118170255	3	8
494.5	24670	0.7299045118170255	3	8
494.5	24377	0.7299045118170255	3	8
494.5	24151	0.7299045118170255	3	8
494.5	24063	0.7299045118170255	3	8
494.5	23869	0.7299045118170255	3	8
494.5	20448	0.7299045118170255	3	8
494.5	19838	0.7299045118170255	3	8
494.5	18808	0.7299045118170255	3	8
494.5	18279	0.7299045118170255	3	8
494.5	17832	0.7299045118170255	3	8
494.5	16972	0.7299045118170255	3	8
494.5	14196	0.7299045118170255	3	8
494.5	14167	0.7299045118170255	3	8
494.5	14114	0.7299045118170255	3	8
494.5	12362	0.7299045118170255	3	8
494.5	11762	0.7299045118170255	3	8
494.5	10053	0.7299045118170255	3	8
494.5	8850	0.7299045118170255	3	8
494.5	4650	0.7299045118170255	3	8
494.5	4631	0.7299045118170255	3	8
494.5	4260	0.7299045118170255	3	8
494.5	4014	0.7299045118170255	3	8
509.0	21545	0.7251066360791043	10	34
510.0	1082	0.7234525300552743	40	67
511.0	1108	0.7208567619877062	34	125
512.0	803	0.7206466219204959	43	99
513.0	577	0.7199584380106021	42	86
515.0	16461	0.7195429233257684	7	23
515.0	14594	0.7195429233257684	7	23
515.0	3514	0.7195429233257684	7	23
517.0	364	0.7189113174960768	41	79
518.0	386	0.7142005897577777	38	164
520.0	631	0.7135371362629943	43	100
520.0	456	0.7135371362629943	43	100
520.0	313	0.7135371362629943	43	100
522.5	16105	0.7112172846858424	8	27
522.5	14446	0.7112172846858424	8	27
524.5	1424	0.7075260657467632	41	80
524.5	1164	0.7075260657467632	41	80
526.0	3773	0.7046133176475902	14	44
527.0	1152	0.699474775291006	39	62
528.5	8031	0.6975394632744729	13	41
528.5	3356	0.6975394632744729	13	41
530.0	2088	0.6974006961180015	30	94
531.0	880	0.6973400588199814	35	135
532.0	5259	0.6956316538876068	34	123
533.5	16710	0.6945813470587305	9	30
533.5	8987	0.6945813470587305	9	30
535.0	712	0.6940901320678154	43	102
536.0	273	0.6931471805599453	43	1367
537.0	6998	0.6924180518364293	28	84
538.0	102	0.6905190581536758	40	203
539.5	1653	0.6874383163396249	43	103
539.5	1191	0.6874383163396249	43	103
541.0	1686	0.6842975652829626	40	69
542.5	26803	0.6840330240708017	7	22
542.5	6901	0.6840330240708017	7	22
545.5	26709	0.682414377872659	6	18
545.5	16844	0.682414377872659	6	18
545.5	15513	0.682414377872659	6	18
545.5	3644	0.682414377872659	6	18
548.0	2260	0.6810632903706795	12	38
549.5	2723	0.6803328110265943	39	63
549.5	1305	0.6803328110265943	39	63
551.0	1588	0.6782437750573704	41	217
552.5	31487	0.6780990833892746	8	26
552.5	15566	0.6780990833892746	8	26
559.5	35360	0.6741990776436939	5	13
559.5	23676	0.6741990776436939	5	13
559.5	23483	0.6741990776436939	5	13
559.5	20820	0.6741990776436939	5	13
559.5	20632	0.6741990776436939	5	13
559.5	14171	0.6741990776436939	5	13
559.5	11991	0.6741990776436939	5	13
559.5	8271	0.6741990776436939	5	13
559.5	8169	0.6741990776436939	5	13
559.5	6889	0.6741990776436939	5	13
559.5	5064	0.6741990776436939	5	13
559.5	2306	0.6741990776436939	5	13
567.0	17278	0.6715795003299512	11	35
567.0	6560	0.6715795003299512	11	35
567.0	985	0.6715795003299512	11	35
569.0	2052	0.6686661538062033	34	121
570.0	4480	0.6676936965697484	27	78
571.0	6653	0.6663105266063853	42	90
572.5	1147	0.6662397276400212	39	64
572.5	538	0.6662397276400212	39	64
574.0	667	0.6642443730939673	35	44
575.0	540	0.6632942174102636	37	54
576.0	876	0.6629665634099542	35	132
577.0	604	0.6621369438173854	43	105
579.0	19259	0.6621218045996624	9	29
579.0	15275	0.6621218045996624	9	29
579.0	3400	0.6621218045996624	9	29
581.0	1365	0.6596868099962636	38	159
594.0	33040	0.6591405536062513	4	10
594.0	29283	0.6591405536062513	4	10
594.0	27906	0.6591405536062513	4	10
594.0	27892	0.6591405536062513	4	10
594.0	27865	0.6591405536062513	4	10
594.0	25089	0.6591405536062513	4	10
594.0	24427	0.6591405536062513	4	10
594.0	21347	0.6591405536062513	4	10
594.0	20918	0.6591405536062513	4	10
594.0	20579	0.6591405536062513	4	10
594.0	19872	0.6591405536062513	4	10
594.0	19751	0.6591405536062513	4	10
594.0	19545	0.6591405536062513	4	10
594.0	19149	0.6591405536062513	4	10
594.0	19126	0.6591405536062513	4	10
594.0	15386	0.6591405536062513	4	10
594.0	15059	0.6591405536062513	4	10
594.0	14886	0.6591405536062513	4	10
594.0	13418	0.6591405536062513	4	10
594.0	12015	0.6591405536062513	4	10
594.0	9535	0.6591405536062513	4	10
594.0	8782	0.6591405536062513	4	10
594.0	6789	0.6591405536062513	4	10
594.0	5857	0.6591405536062513	4	10
594.0	5049	0.6591405536062513	4	10
607.5	12110	0.6520369698416397	12	37
607.5	8669	0.6520369698416397	12	37
609.0	866	0.6516187218633638	38	58
610.0	3915	0.6513590719014175	39	65
611.0	3049	0.6494243695461135	34	38
612.0	2693	0.6479453418849088	14	42
615.5	27563	0.6476120594720793	7	21
615.5	26832	0.6476120594720793	7	21
615.5	26162	0.6476120594720793	7	21
615.5	26161	0.6476120594720793	7	21
615.5	13422	0.6476120594720793	7	21
615.5	11204	0.6476120594720793	7	21
619.0	7523	0.6472656071477685	19	55
620.0	5406	0.6470893789383654	31	97
621.5	26011	0.6462538913111615	8	25
621.5	13707	0.6462538913111615	8	25
623.0	11353	0.6434697880459765	11	34
624.0	5053	0.6416452848435439	35	129
625.0	14838	0.6377605802760886	27	76
626.0	2250	0.6346592203828489	10	31
628.0	6654	0.6335849194086025	38	59
628.0	1662	0.6335849194086025	38	59
628.0	845	0.6335849194086025	38	59
630.0	312	0.6334534167514612	40	72
632.0	15282	0.629781276741312	6	17
632.0	3480	0.629781276741312	6	17
632.0	2633	0.629781276741312	6	17
635.5	22423	0.628044577656838	9	28
635.5	19258	0.628044577656838	9	28
635.5	3369	0.628044577656838	9	28
635.5	3253	0.628044577656838	9	28
638.0	2081	0.6256648833783602	38	156
639.0	5220	0.6249797321491606	34	118
641.5	1657	0.624360728724878	43	108
641.5	1234	0.624360728724878	43	108
641.5	642	0.624360728724878	43	108
641.5	131	0.624360728724878	43	108
644.0	10833	0.6237377291877779	29	84
645.0	771	0.6194880750255649	43	109
646.5	3376	0.6148836155300996	13	38
646.5	3358	0.6148836155300996	13	38
648.5	1842	0.613756575941796	43	110
648.5	779	0.613756575941796	43	110
650.0	9313	0.6137103499119112	11	33
651.5	4293	0.6136580295017069	40	73
651.5	281	0.6136580295017069	40	73
681.5	35413	0.6105676749569788	3	7
681.5	35115	0.6105676749569788	3	7
681.5	34624	0.6105676749569788	3	7
681.5	33959	0.6105676749569788	3	7
681.5	33860	0.6105676749569788	3	7
681.5	30808	0.6105676749569788	3	7
681.5	30434	0.6105676749569788	3	7
681.5	30329	0.6105676749569788	3	7
681.5	29813	0.6105676749569788	3	7
681.5	28719	0.6105676749569788	3	7
681.5	28563	0.6105676749569788	3	7
681.5	28514	0.6105676749569788	3	7
681.5	28041	0.6105676749569788	3	7
681.5	27867	0.6105676749569788	3	7
681.5	27133	0.6105676749569788	3	7
681.5	25541	0.6105676749569788	3	7
681.5	24700	0.6105676749569788	3	7
681.5	24371	0.6105676749569788	3	7
681.5	24214	0.6105676749569788	3	7
681.5	24036	0.6105676749569788	3	7
681.5	23855	0.6105676749569788	3	7
681.5	23490	0.6105676749569788	3	7
681.5	20280	0.6105676749569788	3	7
681.5	20189	0.6105676749569788	3	7
681.5	19983	0.6105676749569788	3	7
681.5	19835	0.6105676749569788	3	7
681.5	19647	0.6105676749569788	3	7
681.5	19484	0.6105676749569788	3	7
681.5	19240	0.6105676749569788	3	7
681.5	18810	0.6105676749569788	3	7
681.5	18384	0.6105676749569788	3	7
681.5	18184	0.6105676749569788	3	7
681.5	16829	0.6105676749569788	3	7
681.5	16422	0.6105676749569788	3	7
681.5	16352	0.6105676749569788	3	7
681.5	14285	0.6105676749569788	3	7
681.5	14180	0.6105676749569788	3	7
681.5	13763	0.6105676749569788	3	7
681.5	13735	0.6105676749569788	3	7
681.5	13366	0.6105676749569788	3	7
681.5	11527	0.6105676749569788	3	7
681.5	11143	0.6105676749569788	3	7
681.5	10112	0.6105676749569788	3	7
681.5	10023	0.6105676749569788	3	7
681.5	9931	0.6105676749569788	3	7
681.5	9751	0.6105676749569788	3	7
681.5	9589	0.6105676749569788	3	7
681.5	9449	0.6105676749569788	3	7
681.5	8876	0.6105676749569788	3	7
681.5	8860	0.6105676749569788	3	7
681.5	8597	0.6105676749569788	3	7
681.5	8331	0.6105676749569788	3	7
681.5	7083	0.6105676749569788	3	7
681.5	6936	0.6105676749569788	3	7
681.5	6196	0.6105676749569788	3	7
