rank	vertex_index	anomaly_score	trussness	degree
126.0	14893	1.6750980646726683	5	36
127.0	7954	1.6725468407620765	13	213
128.0	2723	1.6634500205846843	20	63
129.0	147	1.6622554682735151	13	212
130.0	672	1.6610252812245934	22	211
131.0	3844	1.652572074412511	10	139
132.0	56	1.6500647659643715	17	309
133.0	26142	1.6427932227627693	3	16
134.0	36135	1.638005953189353	2	13
135.0	551	1.6341305250244722	22	219
136.0	575	1.6333911534565932	22	217
137.0	1365	1.6307807373949261	11	159
138.0	712	1.629429058912665	21	102
139.0	1191	1.6267626960914061	21	103
140.0	8558	1.621297137576243	6	47
141.0	16201	1.6141429834125418	8	96
142.0	22319	1.5989953120323612	4	23
143.0	913	1.5977294231692003	13	204
144.0	1082	1.5967258768457384	20	67
145.0	1899	1.5927387446764687	14	225
146.0	102	1.5908943347219315	13	203
147.5	9861	1.589754550752768	5	33
147.5	7140	1.589754550752768	5	33
149.5	5354	1.5874416259379593	3	15
149.5	4256	1.5874416259379593	3	15
151.0	470	1.583292632329778	22	228
152.0	93	1.5797327580201843	19	455
153.0	1209	1.5786163323935005	19	44
154.0	9504	1.5734241220135772	8	93
155.0	1927	1.5686159179138448	13	197
157.0	36150	1.5641299595733074	2	12
157.0	9754	1.5641299595733074	2	12
157.0	60	1.5641299595733074	2	12
159.0	5830	1.5609915421989147	5	32
160.0	1310	1.5606477482646683	20	69
161.0	4093	1.5563220963878148	8	92
162.0	1138	1.5504126207632236	14	219
163.0	876	1.5492861517741785	10	132
164.0	5881	1.5407883885900064	19	46
165.5	30779	1.5323306394808078	3	14
165.5	5017	1.5323306394808078	3	14
167.0	26897	1.5293205353062032	6	43
168.5	4621	1.52607722640459	4	21
168.5	123	1.52607722640459	4	21
170.0	1588	1.5216731586666539	14	217
171.0	823	1.5141277326297753	21	908
172.0	3311	1.4916548767777167	19	423
173.0	5020	1.4874569926596157	8	87
174.0	1043	1.4853852637641216	21	114
176.5	35279	1.483809712718564	2	11
176.5	13266	1.483809712718564	2	11
176.5	9134	1.483809712718564	2	11
176.5	8561	1.483809712718564	2	11
180.0	13396	1.4836986363425524	4	20
180.0	7302	1.4836986363425524	4	20
180.0	5187	1.4836986363425524	4	20
182.0	8032	1.476790854145567	6	41
183.0	960	1.4760406489761664	11	143
184.0	106	1.4746635115699807	19	422
185.5	5064	1.4681553613120926	3	13
185.5	1943	1.4681553613120926	3	13
187.0	300	1.4650099285853648	22	253
188.0	5029	1.4635560208998033	5	29
189.0	308	1.4581200956911466	19	421
190.0	20617	1.4546439389211008	19	50
191.0	8566	1.4517483156958733	6	40
192.0	1180	1.44905573588606	13	178
193.0	4153	1.4488706261883442	12	160
194.0	88	1.444002678740537	17	284
195.0	539	1.4429897047964357	22	249
196.0	1101	1.4393188294281112	21	119
197.5	3597	1.4363146323099691	19	51
197.5	1079	1.4363146323099691	19	51
199.0	480	1.4315509527080117	22	270
200.0	452	1.425515074273172	22	281
201.0	240	1.422951851963905	15	227
202.0	2276	1.422210725667882	20	76
203.0	16202	1.418760162369468	8	83
204.0	528	1.4147322964404236	22	279
205.5	3161	1.4136933353080052	19	405
205.5	802	1.4136933353080052	19	405
207.0	2111	1.4122137386719649	13	174
208.0	1334	1.408767216971949	18	314
209.0	526	1.4069136483226266	22	292
210.0	499	1.4039939382192919	22	269
211.0	367	1.4027459660118957	17	280
212.0	26584	1.4026566125856696	7	62
213.0	471	1.4024672203654918	22	297
214.0	1470	1.3985203314577568	11	137
216.0	5032	1.3943187202866376	3	12
216.0	212	1.3943187202866376	3	12
216.0	62	1.3943187202866376	3	12
218.5	19815	1.3941846335510473	5	27
218.5	10280	1.3941846335510473	5	27
220.5	16498	1.393944346641712	2	10
220.5	5018	1.393944346641712	2	10
222.0	18778	1.3938079626286841	6	38
225.0	28825	1.3872010111105109	4	18
225.0	26990	1.3872010111105109	4	18
225.0	26709	1.3872010111105109	4	18
225.0	11494	1.3872010111105109	4	18
225.0	39	1.3872010111105109	4	18
228.0	652	1.3682758556172128	20	538
229.0	8560	1.3644962535337717	6	37
230.5	23960	1.3608727779422258	5	26
230.5	5057	1.3608727779422258	5	26
232.0	1174	1.3541266391243418	19	55
233.0	875	1.3429612364135162	11	133
234.0	4223	1.3428648031925539	21	127
235.0	3027	1.3394839432759005	13	168
236.0	3352	1.3378738144006102	6	36
237.0	10281	1.3378513589049952	8	78
238.0	314	1.3350010667323402	22	322
239.5	11165	1.3343183016466664	4	17
239.5	3497	1.3343183016466664	4	17
241.0	2215	1.3308955817301023	18	308
242.0	107	1.3291359472799424	16	234
243.5	13432	1.3288340455713552	5	25
243.5	5023	1.3288340455713552	5	25
245.0	391	1.3247045085173923	11	131
246.0	984	1.3173965963903465	11	130
247.0	1507	1.3162505173869636	18	307
250.0	33315	1.3140491607405718	3	11
250.0	24890	1.3140491607405718	3	11
250.0	9988	1.3140491607405718	3	11
250.0	9153	1.3140491607405718	3	11
250.0	59	1.3140491607405718	3	11
253.0	400	1.3121863889661687	22	312
255.0	26811	1.3113159291501884	6	35
255.0	3361	1.3113159291501884	6	35
255.0	2385	1.3113159291501884	6	35
257.0	26854	1.3089533891619425	7	58
258.0	267	1.307587088061636	8	76
259.0	20608	1.301953212686139	18	43
260.0	20619	1.3018322550470849	14	19
261.0	925	1.3016112738898515	17	263
263.0	36163	1.2953954194255406	2	9
263.0	10462	1.2953954194255406	2	9
263.0	10248	1.2953954194255406	2	9
265.0	13419	1.2912626690392015	5	24
266.0	386	1.290984181315566	13	164
267.0	554	1.2909841813155651	22	310
268.0	958	1.2882445829840705	8	75
269.5	1070	1.2876792336015956	21	135
269.5	1048	1.2876792336015956	21	135
271.0	115	1.2866522313090591	11	126
272.0	424	1.2846905630208072	17	36
273.0	7607	1.2834641197200325	19	59
274.5	11547	1.2794924263549774	4	16
274.5	3870	1.2794924263549774	4	16
276.0	7012	1.2730603085590433	16	30
277.0	11812	1.2711848489068736	9	92
278.0	1071	1.2634468308036801	13	162
279.0	7008	1.2602048633057539	19	60
280.0	22013	1.257385472874235	14	20
281.0	2666	1.252762968495368	12	140
282.0	2592	1.2524259844989185	18	45
284.0	19823	1.2509617663848456	5	23
284.0	11016	1.2509617663848456	5	23
284.0	5045	1.2509617663848456	5	23
286.0	5536	1.2430781838766451	12	139
287.0	6405	1.2407000960460932	8	73
288.0	1163	1.2395614566368316	19	61
289.0	1765	1.2349318868522952	21	139
290.0	6467	1.2327747952296422	12	13
291.0	2510	1.2257944536139735	13	158
293.5	12015	1.2242791050586632	3	10
293.5	10596	1.2242791050586632	3	10
293.5	8629	1.2242791050586632	3	10
293.5	44	1.2242791050586632	3	10
297.5	19720	1.224277177289407	4	15
297.5	6008	1.224277177289407	4	15
297.5	5747	1.224277177289407	4	15
297.5	5186	1.224277177289407	4	15
301.0	26911	1.2241632647479257	6	32
301.0	20157	1.2241632647479257	6	32
301.0	5948	1.2241632647479257	6	32
303.0	1459	1.2224230701220105	11	121
304.5	5376	1.2224177898309607	19	62
304.5	1152	1.2224177898309607	19	62
306.0	839	1.2209403375826389	20	89
307.5	6074	1.2167085358291434	15	26
307.5	1604	1.2167085358291434	15	26
309.5	7032	1.2152787191812866	5	22
309.5	5068	1.2152787191812866	5	22
311.0	18880	1.2145549136564737	18	47
312.0	89	1.2140778261841305	17	247
313.0	6653	1.2120049760231995	20	90
314.5	4617	1.2109052411015808	16	32
314.5	1173	1.2109052411015808	16	32
316.0	4755	1.203972804325936	19	365
317.0	360	1.2033416903889265	16	223
318.0	640	1.202891138455195	20	91
319.0	1030	1.202409082349753	21	143
320.0	659	1.1970523614813624	17	244
321.0	2015	1.193353235498475	11	119
322.0	91	1.1932775152091883	14	172
323.5	13424	1.1907432698811933	7	52
323.5	5051	1.1907432698811933	7	52
329.5	30513	1.190375064140751	2	8
329.5	10778	1.190375064140751	2	8
329.5	10245	1.190375064140751	2	8
329.5	10242	1.190375064140751	2	8
329.5	10012	1.190375064140751	2	8
329.5	9136	1.190375064140751	2	8
329.5	8635	1.190375064140751	2	8
329.5	8303	1.190375064140751	2	8
329.5	5026	1.190375064140751	2	8
329.5	5001	1.190375064140751	2	8
335.5	1147	1.1889349269613954	19	64
335.5	538	1.1889349269613954	19	64
337.0	4132	1.1856656568815795	9	86
338.0	18654	1.185152744999166	15	27
339.0	2696	1.1843682556676232	16	33
340.0	1401	1.178921745998676	11	118
341.5	1154	1.1788645740433452	20	93
341.5	164	1.1788645740433452	20	93
343.5	17893	1.1783834953095091	5	21
343.5	14338	1.1783834953095091	5	21
345.5	20609	1.1739904248437334	18	49
345.5	507	1.1739904248437334	18	49
347.0	2614	1.1723104527428765	17	40
352.5	26699	1.169556856310077	4	14
352.5	24810	1.169556856310077	4	14
352.5	19876	1.169556856310077	4	14
352.5	18722	1.169556856310077	4	14
352.5	8878	1.169556856310077	4	14
352.5	8543	1.169556856310077	4	14
352.5	6944	1.169556856310077	4	14
352.5	6156	1.169556856310077	4	14
352.5	2433	1.169556856310077	4	14
352.5	1802	1.169556856310077	4	14
358.0	5237	1.1689930854299098	19	363
359.0	8071	1.1648854156178894	8	69
360.0	948	1.163150809805681	14	169
361.0	1110	1.1460060483516	20	96
362.0	6125	1.1427097386606837	8	68
363.0	3728	1.1399674743500237	19	67
364.0	684	1.1364825627235193	21	148
365.5	27888	1.136028027296346	5	20
365.5	3223	1.136028027296346	5	20
368.5	17939	1.1333066250155879	10	9
368.5	16751	1.1333066250155879	10	9
368.5	16747	1.1333066250155879	10	9
368.5	13982	1.1333066250155879	10	9
371.0	716	1.1326731267410697	17	234
372.0	692	1.1311677639526296	15	184
373.0	1036	1.1283087940219625	21	150
374.0	3969	1.1269057973107213	6	29
375.0	613	1.126011262856224	22	386
378.5	29553	1.1258700879988286	3	9
378.5	20374	1.1258700879988286	3	9
378.5	13585	1.1258700879988286	3	9
378.5	12512	1.1258700879988286	3	9
378.5	5184	1.1258700879988286	3	9
378.5	4263	1.1258700879988286	3	9
382.0	72	1.1245877750713706	22	377
383.0	165	1.1200765273364093	14	166
384.5	23026	1.1175906456423865	15	29
384.5	19188	1.1175906456423865	15	29
386.0	5053	1.1173696543161737	12	129
387.0	803	1.1168609702565089	20	99
388.0	46	1.1158170141177406	11	112
389.0	19217	1.114016497976582	12	15
390.5	4173	1.1112456979089096	18	52
390.5	203	1.1112456979089096	18	52
392.0	313	1.1078289437730335	20	100
395.5	27605	1.105841614511565	4	13
395.5	21801	1.105841614511565	4	13
395.5	20220	1.105841614511565	4	13
395.5	8857	1.105841614511565	4	13
395.5	6889	1.105841614511565	4	13
395.5	5836	1.105841614511565	4	13
399.5	5471	1.103624830491654	19	69
399.5	5167	1.103624830491654	19	69
401.0	1682	1.102393011508016	14	24
402.0	4858	1.102195237682059	7	48
403.5	458	1.0986122886681098	22	1261
403.5	136	1.0986122886681098	22	1026
406.0	353	1.0986122886681096	21	705
406.0	232	1.0986122886681096	22	399
406.0	195	1.0986122886681096	22	1143
408.0	1683	1.0954173977715902	18	53
409.0	2868	1.0921960398113901	6	28
412.0	20654	1.0908462137550536	5	19
412.0	10330	1.0908462137550536	5	19
412.0	10032	1.0908462137550536	5	19
412.0	4205	1.0908462137550536	5	19
412.0	4144	1.0908462137550536	5	19
415.0	2296	1.088103104170334	8	65
416.0	86	1.0844641427020827	12	125
418.0	13974	1.0821470256525938	11	12
418.0	13836	1.0821470256525938	11	12
418.0	12165	1.0821470256525938	11	12
420.5	19187	1.0744953641897972	16	37
420.5	18746	1.0744953641897972	16	37
422.0	4606	1.074339252311903	18	54
423.0	1652	1.074105878480287	20	103
427.5	26153	1.068626029411739	2	7
427.5	20966	1.068626029411739	2	7
427.5	20963	1.068626029411739	2	7
427.5	19034	1.068626029411739	2	7
427.5	14990	1.068626029411739	2	7
427.5	14335	1.068626029411739	2	7
427.5	8288	1.068626029411739	2	7
427.5	51	1.068626029411739	2	7
432.0	4616	1.066259324216344	20	104
433.0	20610	1.0657562544320536	14	25
434.0	573	1.0621118864485828	21	161
435.0	2740	1.0617077317326586	21	162
436.0	734	1.060871960685263	21	686
438.5	6986	1.0606767053883424	19	72
438.5	3565	1.0606767053883424	19	72
438.5	641	1.0606767053883424	19	72
438.5	312	1.0606767053883424	19	72
441.0	4747	1.0588607547207305	12	123
442.0	3933	1.0578570425018174	7	46
443.5	8559	1.0577321683719632	6	27
443.5	4651	1.0577321683719632	6	27
445.0	694	1.057035861822369	18	275
446.0	3380	1.0537737306923436	15	31
448.0	18656	1.0494796000904651	19	73
448.0	4723	1.0494796000904651	19	73
448.0	4405	1.0494796000904651	19	73
450.0	10855	1.0474307323666023	16	38
451.0	2753	1.0422593521169778	19	332
453.0	16844	1.0399916580774455	5	18
453.0	5928	1.0399916580774455	5	18
453.0	5046	1.0399916580774455	5	18
455.5	9300	1.039846683792006	7	45
455.5	4131	1.039846683792006	7	45
457.0	6833	1.03815062619368	9	77
459.0	19266	1.0362791127775388	10	10
459.0	10884	1.0362791127775388	10	10
459.0	9434	1.0362791127775388	10	10
462.0	18930	1.0356890625524873	14	26
462.0	2707	1.0356890625524873	14	26
462.0	2497	1.0356890625524873	14	26
469.5	25766	1.0325100455543552	4	12
469.5	24464	1.0325100455543552	4	12
469.5	23722	1.0325100455543552	4	12
469.5	20990	1.0325100455543552	4	12
469.5	19912	1.0325100455543552	4	12
469.5	16987	1.0325100455543552	4	12
469.5	11922	1.0325100455543552	4	12
469.5	10897	1.0325100455543552	4	12
469.5	9800	1.0325100455543552	4	12
469.5	5509	1.0325100455543552	4	12
469.5	4639	1.0325100455543552	4	12
469.5	4536	1.0325100455543552	4	12
477.0	25323	1.0308663001357212	8	62
477.0	6231	1.0308663001357212	8	62
477.0	1472	1.0308663001357212	8	62
479.0	2269	1.0261239885168498	17	46
480.0	851	1.0258529343856817	21	666
481.0	4677	1.0256113957836197	10	90
484.0	23043	1.0247068941925024	6	26
484.0	6735	1.0247068941925024	6	26
484.0	2860	1.0247068941925024	6	26
484.0	2118	1.0247068941925024	6	26
484.0	1547	1.0247068941925024	6	26
488.0	23345	1.0246389060166097	15	32
488.0	21420	1.0246389060166097	15	32
488.0	3598	1.0246389060166097	15	32
494.5	26378	1.020971365692363	3	8
494.5	25529	1.020971365692363	3	8
494.5	19836	1.020971365692363	3	8
494.5	19325	1.020971365692363	3	8
494.5	4987	1.020971365692363	3	8
494.5	4418	1.020971365692363	3	8
494.5	4260	1.020971365692363	3	8
494.5	2839	1.020971365692363	3	8
494.5	2798	1.020971365692363	3	8
494.5	2379	1.020971365692363	3	8
500.0	241	1.0206507471983977	20	459
501.0	1737	1.0184495833943812	15	173
502.5	3981	1.017663074689965	7	44
502.5	2759	1.017663074689965	7	44
504.0	81	1.01711175819315	12	120
505.0	519	1.0125994140080694	21	167
506.0	5897	1.009342685263885	11	13
507.0	4605	1.0084611916738124	19	75
508.5	23023	1.0071372046477274	17	47
508.5	4184	1.0071372046477274	17	47
510.0	1234	1.0069676987569922	20	108
511.0	8391	1.004353424010735	14	27
512.0	1094	1.0040736394257328	13	137
514.0	5614	1.0034585911424854	12	119
514.0	271	1.0034585911424854	12	119
514.0	79	1.0034585911424854	12	119
516.0	1304	1.003017167987088	18	263
517.0	2047	1.0027568868820271	9	75
518.0	861	1.0018826622095585	11	104
519.5	13744	0.9929545479153852	6	25
519.5	7442	0.9929545479153852	6	25
521.0	1102	0.9922260003853989	19	76
522.0	919	0.9900353019194483	12	118
523.5	2263	0.9893399426796341	20	110
523.5	779	0.9893399426796341	20	110
525.0	3766	0.9887974226609035	7	43
526.5	3970	0.9882749461102236	17	48
526.5	817	0.9882749461102236	17	48
532.0	35734	0.9874567069152196	5	17
532.0	26163	0.9874567069152196	5	17
532.0	13178	0.9874567069152196	5	17
532.0	6829	0.9874567069152196	5	17
532.0	6681	0.9874567069152196	5	17
532.0	6279	0.9874567069152196	5	17
532.0	5565	0.9874567069152196	5	17
532.0	5248	0.9874567069152196	5	17
532.0	2724	0.9874567069152196	5	17
537.0	277	0.9864949905474036	13	136
538.0	2856	0.9855677767582112	8	60
539.0	1193	0.9829104192155507	21	170
540.0	2573	0.9795263212313099	19	77
541.5	928	0.9792165352333209	9	74
541.5	279	0.9792165352333209	9	74
543.5	1049	0.9765829621302755	21	172
543.5	264	0.9765829621302755	21	172
545.0	261	0.9748488849102399	14	149
546.0	4534	0.9743427437821195	20	112
547.0	284	0.9734491457141043	13	135
548.5	2577	0.970998480228598	20	113
548.5	1628	0.970998480228598	20	113
550.5	1313	0.9707349137259502	17	49
550.5	1091	0.9707349137259502	17	49
552.5	6966	0.9689918563968005	15	34
552.5	3005	0.9689918563968005	15	34
554.0	2572	0.968694520545732	20	114
555.0	1146	0.968559160419912	19	78
556.5	3215	0.9658612316274677	18	258
556.5	676	0.9658612316274677	18	258
558.0	1162	0.965628091679676	21	174
559.0	774	0.9626284371608449	13	22
560.5	9038	0.9613837048123601	7	42
560.5	2142	0.9613837048123601	7	42
562.0	1083	0.960073374312965	19	79
563.0	319	0.9592567677575987	15	168
584.0	36081	0.9584708230279979	9	8
584.0	36079	0.9584708230279979	9	8
584.0	36077	0.9584708230279979	9	8
584.0	27066	0.9584708230279979	9	8
584.0	27065	0.9584708230279979	9	8
584.0	27064	0.9584708230279979	9	8
584.0	27063	0.9584708230279979	9	8
584.0	27062	0.9584708230279979	9	8
584.0	27061	0.9584708230279979	9	8
584.0	27060	0.9584708230279979	9	8
584.0	27006	0.9584708230279979	9	8
584.0	27005	0.9584708230279979	9	8
584.0	27004	0.9584708230279979	9	8
584.0	27003	0.9584708230279979	9	8
584.0	26997	0.9584708230279979	9	8
584.0	26453	0.9584708230279979	9	8
584.0	26452	0.9584708230279979	9	8
584.0	25605	0.9584708230279979	9	8
584.0	20953	0.9584708230279979	9	8
584.0	16779	0.9584708230279979	9	8
584.0	16743	0.9584708230279979	9	8
584.0	16741	0.9584708230279979	9	8
584.0	16724	0.9584708230279979	9	8
584.0	16723	0.9584708230279979	9	8
584.0	14003	0.9584708230279979	9	8
584.0	11683	0.9584708230279979	9	8
584.0	8015	0.9584708230279979	9	8
584.0	8013	0.9584708230279979	9	8
584.0	6220	0.9584708230279979	9	8
584.0	4751	0.9584708230279979	9	8
584.0	4750	0.9584708230279979	9	8
584.0	4749	0.9584708230279979	9	8
584.0	4748	0.9584708230279979	9	8
584.0	4031	0.9584708230279979	9	8
584.0	4030	0.9584708230279979	9	8
584.0	3799	0.9584708230279979	9	8
584.0	3798	0.9584708230279979	9	8
584.0	3647	0.9584708230279979	9	8
584.0	1157	0.9584708230279979	9	8
584.0	1156	0.9584708230279979	9	8
584.0	1155	0.9584708230279979	9	8
608.5	16692	0.9559260387315502	6	24
608.5	13665	0.9559260387315502	6	24
608.5	13134	0.9559260387315502	6	24
608.5	8767	0.9559260387315502	6	24
608.5	8072	0.9559260387315502	6	24
608.5	5883	0.9559260387315502	6	24
608.5	1584	0.9559260387315502	6	24
608.5	226	0.9559260387315502	6	24
613.5	4167	0.9543073509626314	18	60
613.5	735	0.9543073509626314	18	60
625.5	27851	0.9532284578343884	4	11
625.5	24426	0.9532284578343884	4	11
625.5	23946	0.9532284578343884	4	11
625.5	23808	0.9532284578343884	4	11
625.5	21092	0.9532284578343884	4	11
625.5	20378	0.9532284578343884	4	11
625.5	18826	0.9532284578343884	4	11
625.5	18773	0.9532284578343884	4	11
625.5	17925	0.9532284578343884	4	11
625.5	16098	0.9532284578343884	4	11
625.5	14115	0.9532284578343884	4	11
625.5	13486	0.9532284578343884	4	11
625.5	13175	0.9532284578343884	4	11
625.5	11680	0.9532284578343884	4	11
625.5	8193	0.9532284578343884	4	11
625.5	7753	0.9532284578343884	4	11
625.5	7106	0.9532284578343884	4	11
625.5	5190	0.9532284578343884	4	11
625.5	3785	0.9532284578343884	4	11
625.5	2386	0.9532284578343884	4	11
625.5	2168	0.9532284578343884	4	11
625.5	1818	0.9532284578343884	4	11
637.5	1217	0.9527847903047268	20	116
637.5	315	0.9527847903047268	20	116
639.0	1168	0.952563291895486	14	147
641.5	6959	0.9523069839084641	12	18
641.5	6448	0.9523069839084641	12	18
641.5	6296	0.9523069839084641	12	18
641.5	2602	0.9523069839084641	12	18
646.0	19205	0.9481498892041937	10	11
646.0	17942	0.9481498892041937	10	11
646.0	17941	0.9481498892041937	10	11
646.0	17940	0.9481498892041937	10	11
646.0	14235	0.9481498892041937	10	11
649.0	13753	0.9456477155050962	11	14
650.0	1458	0.9456183469686756	20	118
651.0	2609	0.9423338704101747	15	35
652.5	9386	0.9369620603977102	7	41
652.5	5042	0.9369620603977102	7	41
654.0	13971	0.9359224701196345	14	29
655.0	20620	0.9340072594189293	18	61
665.0	28933	0.9338707645081463	5	16
665.0	27090	0.9338707645081463	5	16
665.0	22975	0.9338707645081463	5	16
665.0	21241	0.9338707645081463	5	16
665.0	17181	0.9338707645081463	5	16
665.0	17085	0.9338707645081463	5	16
665.0	14827	0.9338707645081463	5	16
665.0	13923	0.9338707645081463	5	16
665.0	10388	0.9338707645081463	5	16
665.0	7193	0.9338707645081463	5	16
665.0	7192	0.9338707645081463	5	16
665.0	7009	0.9338707645081463	5	16
665.0	6734	0.9338707645081463	5	16
665.0	5964	0.9338707645081463	5	16
665.0	5916	0.9338707645081463	5	16
665.0	5527	0.9338707645081463	5	16
665.0	5061	0.9338707645081463	5	16
665.0	1747	0.9338707645081463	5	16
665.0	55	0.9338707645081463	5	16
675.5	3448	0.9280771691605159	17	51
675.5	1113	0.9280771691605159	17	51
677.0	10721	0.9275706779392214	13	23
678.5	6934	0.9264324519526941	19	81
678.5	6912	0.9264324519526941	19	81
680.0	138	0.9218062693864653	11	98
682.0	4298	0.9181408711623158	15	36
682.0	4104	0.9181408711623158	15	36
682.0	3748	0.9181408711623158	15	36
684.0	194	0.9167634333719663	16	181
688.5	10482	0.9165322902720714	6	23
688.5	9981	0.9165322902720714	6	23
688.5	9130	0.9165322902720714	6	23
688.5	6891	0.9165322902720714	6	23
688.5	5210	0.9165322902720714	6	23
688.5	3514	0.9165322902720714	6	23
688.5	3185	0.9165322902720714	6	23
688.5	2436	0.9165322902720714	6	23
693.0	566	0.9162907318741553	22	924
694.0	4148	0.9143518073694805	18	62
695.0	53	0.9141471083309032	12	111
696.5	22565	0.9138936072744333	16	43
696.5	3437	0.9138936072744333	16	43
698.0	1481	0.9113314585148045	19	82
699.5	8694	0.9110085128036065	17	52
699.5	1841	0.9110085128036065	17	52
701.0	688	0.9066637020469903	20	121
702.0	2603	0.9048783398224103	19	83
703.0	2587	0.9028677115420143	12	19
704.0	2256	0.9019575679875773	8	56
714.0	28097	0.9009121214186226	2	6
714.0	21236	0.9009121214186226	2	6
714.0	19355	0.9009121214186226	2	6
714.0	19033	0.9009121214186226	2	6
714.0	16836	0.9009121214186226	2	6
714.0	16036	0.9009121214186226	2	6
714.0	13946	0.9009121214186226	2	6
714.0	13630	0.9009121214186226	2	6
